ISBN	Book-Title	Book-Author	Year-Of-Publication
423	0316182540	White Oleander : A Novel	Janet Fitch	2001
424	0553299506	Private Eyes (Alex Delaware Novels (Paperback))	Jonathan Kellerman	1992
425	0446611611	City of Bones	Michael Connelly	2003
426	0446604658	Lucky You	Carl Hiaasen	1998
427	0553282476	CAT'S EYE	MARGARET ATWOOD	1989
428	0449212602	The Handmaid's Tale	Margaret Atwood	1989
429	0684867621	The Girl Who Loved Tom Gordon : A Novel	Stephen King	1999
430	0345413903	The Murder Book	Jonathan Kellerman	2003
431	3257228007	Das Parfum: Die Geschichte Eines Morders	Patrick Suskind	1994
432	0553582143	Body of Lies	IRIS JOHANSEN	2003
433	0679426159	Standing in the Rainbow : A Novel	FANNIE FLAGG	2002
434	067169071X	EVERYTHING SHE EVER WANTED	Ann Rule	1993
435	0515090174	The Cat Who Could Read Backwards	Lilian Jackson Braun	1994
436	0515095826	The Cat Who Knew Shakespeare	Lilian Jackson Braun	1988
437	0385475713	Alias Grace	Margaret Atwood	1996
438	0553375407	Ishmael: An Adventure of the Mind and Spirit	Daniel Quinn	1995
439	0425115801	Lightning	Dean R. Koontz	1996
440	0671024248	Hearts In Atlantis	Stephen King	2000
441	0671034022	Mercy	Julie Garwood	2002
442	0451151259	Eyes of the Dragon	Stephen King	1988
443	0375727132	The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback))	ANN PACKER	2003
444	0446607711	The Simple Truth	David Baldacci	1999
445	038548951X	Sister of My Heart	Chitra Banerjee Divakaruni	2000
446	0060512806	Cryptonomicon	Neal Stephenson	2002
447	0446525804	Last Man Standing	David Baldacci	2001
448	0515122491	The Maze	Catherine Coulter	1998
449	0140265686	Out to Canaan (The Mitford Years)	Jan Karon	1998
450	0140257934	These High, Green Hills (The Mitford Years)	Jan Karon	1997
451	0140254544	A Light in the Window (The Mitford Years)	Jan Karon	1996
452	0451524934	1984	George Orwell	1990
453	0345392825	Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle)	Mary Pipher	1995
454	0671027123	All Through the Night (Holiday Classics)	Mary Higgins Clark	1999
455	0449225151	A Place Called Freedom	Ken Follett	1996
456	0345350499	The Mists of Avalon	MARION ZIMMER BRADLEY	1987
457	0312976275	Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel)	Janet Evanovich	2001
458	0767905180	Jemima J: A Novel About Ugly Ducklings and Swans	Jane Green	2001
459	059035342X	Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))	J. K. Rowling	1999
460	0316089699	Sea Glass: A Novel	Anita Shreve	2003
461	0060936363	Portrait in Sepia : A Novel	Isabel Allende	2002
462	038082101X	Daughter of Fortune: A Novel	Isabel Allende	2001
463	1558747028	Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul)	Jack Canfield	1999
464	0671708635	Seven Habits Of Highly Effective People	Stephen R. Covey	1990
465	0425162788	Politika (Tom Clancy's Power Plays (Paperback))	Tom Clancy	1999
466	0451208811	Blood Orchid	Stuart Woods	2003
467	0441102670	Chapterhouse Dune (Dune Chronicles, Book 6)	Frank Herbert	1996
468	0441104029	Children of Dune (Dune Chronicles, Book 3)	Frank Herbert	1991
469	0345378482	The Andromeda Strain	MICHAEL CRICHTON	1992
470	0671758896	Loves Music, Loves to Dance	Mary Higgins Clark	1992
471	0345348109	The Killer Angels	Michael Shaara	1993
472	0451177096	Dolores Claiborne	Stephen King	2004
473	0345422384	Pandora: New Tales of the Vampires (New Tales of the Vampires)	Anne Rice	1999
474	0812550307	The Fires of Heaven (The Wheel of Time, Book 5)	Robert Jordan	1994
475	0812511816	The Eye of the World (The Wheel of Time, Book 1)	Robert Jordan	1990
476	0425122123	Clear and Present Danger (Jack Ryan Novels)	Tom Clancy	1996
477	0385484518	Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson	MITCH ALBOM	1997
478	0440236703	Tell No One	Harlan Coben	2002
479	1592400876	Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation	Lynne Truss	2004
480	0767902513	A Walk in the Woods: Rediscovering America on the Appalachian Trail	Bill Bryson	1998
481	0375706410	Waiting (Vintage International)	Ha Jin	2000
482	0553274503	Flowers for Algernon (Bantam Classic)	DANIEL KEYES	1984
483	0413537900	The Secret Diary of Adrian Mole Aged 13 3/4	Sue Townsend	1982
484	0425133540	The Sum of All Fears (Jack Ryan Novels)	Tom Clancy	1996
485	0743469801	Why Girls Are Weird : A Novel	Pamela Ribon	2003
486	0671822209	WLD ACCORDNG GARP	John Irving	1979
487	0380731851	Mystic River	Dennis Lehane	2002
488	0684862719	Pay It Forward: A Novel	Catherine Ryan Hyde	2000
489	0345452550	A Cold Heart: An Alex Delaware Novel	JONATHAN KELLERMAN	2003
490	0316602051	The Jester	James Patterson	2003
491	0446604666	Sick Puppy	Carl Hiaasen	2001
492	0061015725	Prey	Michael Crichton	2003
493	0553579754	Fear Nothing	DEAN KOONTZ	1998
494	0449221482	J Is for Judgment	Sue Grafton	1999
495	0553279912	A Is for Alibi (Kinsey Millhone Mysteries (Paperback))	SUE GRAFTON	1987
496	0345353145	Sphere	MICHAEL CRICHTON	1988
497	0553348973	Still Life with Woodpecker	TOM ROBBINS	1990
498	0440214041	The Pelican Brief	John Grisham	1993
499	0440108268	The Bridge Across Forever	Richard Bach	1986
500	044020562X	One	Richard Bach	1989
501	0140298479	Bridget Jones: The Edge of Reason	Helen Fielding	2001
502	0786889020	Don't Stand Too Close to a Naked Man	Tim Allen	1995
503	0140386645	The Westing Game (Now in Speak!)	Ellen Raskin	1997
504	0345337662	Interview with the Vampire	Anne Rice	1993
505	0345351525	The Queen of the Damned (Vampire Chronicles (Paperback))	Anne Rice	1993
506	0449003787	\O\" Is for Outlaw"	SUE GRAFTON	2001
507	0385265700	The Book of Ruth (Oprah's Book Club (Paperback))	Jane Hamilton	1990
508	1573229326	How to Be Good	Nick Hornby	2002
509	068483376X	Succulent Wild Woman	Sark	1997
510	0671617028	The Color Purple	Alice Walker	1985
511	0440224772	Mirror Image	Danielle Steel	1999
512	0446605239	The Notebook	Nicholas Sparks	1998
513	0553295977	Carnal Innocence	Nora Roberts	1992
514	0671016768	Bloodstream	Tess Gerritsen	1999
515	0743224574	A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash	Sylvia Nasar	2001
516	0671004549	You Belong To Me	Mary Higgins Clark	1999
517	081297106X	Reading Lolita in Tehran: A Memoir in Books	Azar Nafisi	2003
518	0802139256	Peace Like a River	Leif Enger	2002
519	0553565915	Embraced by the Light	Betty J. Eadie	1994
520	055356160X	Cry Wolf	TAMI HOAG	1993
521	0345317580	Magic Kingdom for Sale - Sold! (Magic Kingdom of Landover)	Terry Brooks	1990
522	0345335287	The Black Unicorn (Magic Kingdom of Landover Novel)	Terry Brooks	1990
523	0929634063	50 Simple Things You Can Do to Save the Earth	Earthworks Group	1989
524	0671695304	FOREVER : A Novel of Good and Evil, Love and Hope	Judy Blume	1989
525	0515134384	The Cat Who Went Up the Creek	Lilian Jackson Braun	2003
526	051512463X	The Cat Who Sang for the Birds (Cat Who... (Paperback))	Lilian Jackson Braun	1999
527	0515120618	Montana Sky	Nora Roberts	2000
528	0385335830	Diary of a Mad Bride (Summer Display Opportunity)	Laura Wolf	2002
529	0743262174	Cry, the Beloved Country (Oprah's Book Club)	Alan Paton	2003
530	0515130389	Carolina Moon	Nora Roberts	2001
531	080411935X	Standing in the Rainbow	FANNIE FLAGG	2003
532	0142004235	East of Eden (Oprah's Book Club)	John Steinbeck	2003
533	0515135062	Three Fates	Nora Roberts	2004
534	0743412028	Pay It Forward	Catherine Ryan Hyde	2000
535	0425169693	Here on Earth (Oprah's Book Club)	Alice Hoffman	1999
536	0452269571	Bastard Out of Carolina	Dorothy Allison	1993
537	051513287X	Face the Fire (Three Sisters Island Trilogy)	Nora Roberts	2002
538	0618002219	The Hobbit: or There and Back Again	J.R.R. Tolkien	1999
539	0060392452	Stupid White Men ...and Other Sorry Excuses for the State of the Nation!	Michael Moore	2002
540	0590353403	Harry Potter and the Sorcerer's Stone (Book 1)	J. K. Rowling	1998
541	0446532231	Dude, Where's My Country?	Michael Moore	2003
542	0886777844	Summon the Keeper	Tanya Huff	1998
543	0385498802	Bee Season: A Novel	Myla Goldberg	2001
544	0425101452	Phantoms	Dean R. Koontz	1996
545	0553348981	Jitterbug Perfume	TOM ROBBINS	1990
546	0684874350	ANGELA'S ASHES	Frank McCourt	1996
547	0446611212	Violets Are Blue	James Patterson	2002
548	0316168688	The Dogs of Babel (Today Show Book Club #12)	Carolyn Parkhurst	2003
549	0425155943	Contagion	Robin Cook	1998
550	3257229534	Der Vorleser	Bernhard Schlink	1999
551	034538475X	The Tale of the Body Thief (Vampire Chronicles (Paperback))	Anne Rice	1993
552	0886777631	City of Golden Shadow (Otherland, Volume 1)	Tad Williams	1998
553	0425098648	Night Chills	Dean R. Koontz	1996
554	0380718340	Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback))	Patricia D. Cornwell	1994
555	0451153553	Misery	Stephen King	1988
556	0142001805	The Eyre Affair: A Novel	Jasper Fforde	2003
557	0425147622	The Body Farm	Patricia Daniels Cornwell	1995
558	0446360856	The Gold Coast	Nelson DeMille	1991
559	0553582763	By the Light of the Moon	DEAN KOONTZ	2003
560	0345384369	Intensity	DEAN KOONTZ	1996
561	034539657X	Dark Rivers of the Heart	Dean R. Koontz	1995
562	0425144429	Mr. Murder	Dean R. Koontz	1996
563	0312305060	The Hours: A Novel	Michael Cunningham	2002
564	0451204948	A Day Late and a Dollar Short	Terry McMillan	2002
565	0060175966	The Professor and the Madman	Simon Winchester	1998
566	034545104X	Flesh Tones: A Novel	M. J. Rose	2002
567	0399146431	The Bonesetter's Daughter	Amy Tan	2001
568	0385482388	The Mistress of Spices	Chitra Banerjee Divakaruni	1998
569	0399141146	The Hundred Secret Senses	Amy Tan	1995
570	0375706771	Midwives: A Novel	Chris Bohjalian	1998
571	0679745580	In Cold Blood (Vintage International)	TRUMAN CAPOTE	1994
572	0452260116	Song of Solomon (Oprah's Book Club (Paperback))	Toni Morrison	1987
573	0312978367	The Prometheus Deception	Robert Ludlum	2001
574	0812517725	The Great Hunt (The Wheel of Time, Book 2)	Robert Jordan	1991
575	0451191145	Atlas Shrugged	Ayn Rand	1996
576	0671510126	The Good Earth (Enriched Classics)	Pearl S. Buck	1994
577	0440403278	Number the Stars (Yearling Newbery)	Lois Lowry	1990
578	0060987561	I Know This Much Is True	Wally Lamb	1999
579	0312265867	To the Nines: A Stephanie Plum Novel	Janet Evanovich	2003
580	1844262553	Free	Paul Vincent	2003
581	0312150601	Behind the Scenes at the Museum : A Novel	Kate Atkinson	1999
582	0446603309	The Witness	Sandra Brown	1996
583	0786881852	Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series)	Richard Carlson	1997
584	0345413873	Monster : A Novel (Alex Delaware Novels (Paperback))	JONATHAN KELLERMAN	2000
585	0380726262	Moon Music (Peter Decker &amp; Rina Lazarus Novels (Paperback))	Faye Kellerman	1999
586	1559029838	Call of the Wild	Jack London	0
587	0671023187	Term Limits	Vince Flynn	1999
588	0679746048	Girl, Interrupted	SUSANNA KAYSEN	1994
589	0440216745	Whispers	BELVA PLAIN	1994
590	0312966970	Four To Score (A Stephanie Plum Novel)	Janet Evanovich	1999
591	051512317X	Rising Tides	Nora Roberts	2001
592	0515114693	Born in Fire	Nora Roberts	1994
593	0312971346	High Five (A Stephanie Plum Novel)	Janet Evanovich	2000
594	0140280553	Galileo's Daughter: A Historical Memoir of Science, Faith, and Love	Dava Sobel	2000
595	0060958022	Five Quarters of the Orange	Joanne Harris	2002
596	0385474016	Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies	Laura Esquivel	1994
597	052594527X	Girl With a Pearl Earring	Tracy Chevalier	1999
598	0375412824	The Dive From Clausen's Pier (Alex Awards)	ANN PACKER	2002
599	1558743669	A Child Called \It\": One Child's Courage to Survive"	Dave Pelzer	1995
600	059045367X	Monster Blood (Goosebumps, No 3)	R. L. Stine	1995
601	0553582135	Final Target	Iris Johansen	2002
602	0440237416	Warning Signs	Stephen White	2003
603	0880381736	Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)	Margaret Weis	1990
604	0767907817	Bookends : A Novel	Jane Green	2003
605	0553208845	Siddhartha	Hermann Hesse	1981
606	0064400581	Julie of the Wolves (Julie of the Wolves)	Jean Craighead George	1972
607	0842329218	Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2)	Tim LaHaye	1997
608	0440221471	The Runaway Jury	JOHN GRISHAM	1997
609	0425143325	Without Remorse	Tom Clancy	2004
610	0425180964	The Bear and the Dragon (Jack Ryan Novels)	Tom Clancy	2001
611	0743411250	The Woman Next Door	Barbara Delinsky	2002
612	0060502258	The Divine Secrets of the Ya-Ya Sisterhood: A Novel	Rebecca Wells	2002
613	0061020710	The Color of Magic	Terry Pratchett	2000
614	0440204887	Illusions: The Adventures of a Reluctant Messiah	Richard Bach	1994
615	0345339681	The Hobbit : The Enchanting Prelude to The Lord of the Rings	J.R.R. TOLKIEN	1986
616	0385199570	The Stand (The Complete and Uncut Edition)	Stephen King	1990
617	3442541751	Russendisko.	Wladimir Kaminer	2002
618	044048474X	Tales of a Fourth Grade Nothing	JUDY BLUME	1976
619	1558744630	Chicken Soup for the Teenage Soul (Chicken Soup for the Soul)	Jack Canfield	1997
620	0553294385	I, Robot	ISAAC ASIMOV	1991
621	1558746161	Chicken Soup for the Teenage Soul II (Chicken Soup for the Soul Series)	Jack Canfield	1998
622	0553563521	Devil's Waltz (Alex Delaware Novels (Paperback))	Jonathan Kellerman	1993
623	055357230X	The Clinic (Alex Delaware Novels (Paperback))	Jonathan Kellerman	1999
624	0399142282	Hornet's Nest	Patricia Daniels Cornwell	1997
625	0671683993	The Temple of My Familiar	Alice Walker	1990
626	0439064872	Harry Potter and the Chamber of Secrets (Book 2)	J. K. Rowling	2000
627	0679751602	Mama Makes Up Her Mind: And Other Dangers of Southern Living	Bailey White	1994
628	0553211404	Jane Eyre (Bantam Classics)	Charlotte Bronte	1983
629	0515102652	The Cat Who Talked to Ghosts	Lilian Jackson Braun	1996
630	1400032717	The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries)	Mark Haddon	2004
631	0374100128	The Corrections (Oprah Edition)	Jonathan Franzen	2001
632	0452283868	Sula	Toni Morrison	2002
633	0140119906	Love in the Time of Cholera (Penguin Great Books of the 20th Century)	Gabriel Garcia Marquez	1994
634	0684857820	Lucky	Alice Sebold	1999
635	037541309X	Balzac and the Little Chinese Seamstress	Dai Sijie	2001
636	0553579606	Ashes to Ashes	TAMI HOAG	2000
637	006099486X	The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary	Simon Winchester	1999
638	0684841347	ONE DAY MY SOUL JUST OPENED UP : 40 DAYS AND 40 NIGHTS TOWARD SPIRITUAL STRENGTH AND PERSONAL GROWTH	Iyanla Vanzant	1998
639	0670855030	Insomnia	Stephen King	1994
640	0684810387	MOONLIGHT BECOMES YOU	Mary Higgins Clark	1996
641	0440183057	Stillwatch	MARY HIGGINS CLARK	1986
642	0671250671	ROAD LESS TRAVELED : A New Psychology of Love, Traditional Values, and Spritual Growth (Touchstone Books (Paperback))	M. Scott Peck	1980
643	0425118703	Midnight	Dean R. Koontz	1995
644	0375401598	Pandora : New Tales of the Vampires	ANNE RICE	1998
645	0061000043	A Thief of Time (Joe Leaphorn/Jim Chee Novels)	Tony Hillerman	1990
646	0553289411	The Plains of Passage (Earth's Children (Paperback))	JEAN M. AUEL	1991
647	1551666839	Dead Run	Erica Spindler	2003
648	0765342987	Kushiel's Dart	Jacqueline Carey	2002
649	0446530522	Cane River	Lalita Tademy	2001
650	002026478X	AGE OF INNOCENCE (MOVIE TIE-IN)	Edith Wharton	1993
651	0345447840	The Surgeon	TESS GERRITSEN	2002
652	044661193X	Basket Case	Carl Hiaasen	2003
653	0446359866	Presumed Innocent	Scott Turow	1989
654	0446602612	The Poet	Michael Connelly	1997
655	0446606383	The Midnight Club	James Patterson	1999
656	0553213148	Anne of Avonlea (Anne of Green Gables Novels (Paperback))	L.M. MONTGOMERY	1984
657	0446365505	Pleading Guilty	Scott Turow	1994
658	002542730X	Politically Correct Bedtime Stories: Modern Tales for Our Life and Times	James Finn Garner	1994
659	0451203895	4 Blondes	Candace Bushnell	2002
660	0553272535	Night	Elie Wiesel	1982
661	0425181464	Seduction in Death	J. D. Robb	2001
662	0345347951	Childhood's End	Arthur C. Clarke	1987
663	039480001X	The Cat in the Hat	Dr. Seuss	1957
664	1857022424	Shipping News	E Annie Proulx	0
665	0393317552	Guns, Germs, and Steel: The Fates of Human Societies	Jared Diamond	1999
666	0684853515	Hearts In Atlantis : New Fiction	Stephen King	1999
667	0375504397	Black House	Stephen King	2001
668	0452283205	Falling Angels	Tracy Chevalier	2002
669	0316779237	Holidays on Ice : Stories	David Sedaris	1998
670	0553250531	The Valley of Horses	JEAN M. AUEL	1984
671	0451188462	Desperation	Stephen King	1997
672	0439136350	Harry Potter and the Prisoner of Azkaban (Book 3)	J. K. Rowling	1999
673	0671028367	Deadly Decisions	Kathy Reichs	2001
674	0440111811	Changes	Danielle Steel	1984
675	0064400557	Charlotte's Web (Trophy Newbery)	E. B. White	1974
676	0884046818	Battlefield Earth: A Saga of the Year 3000	L. Ron Hubbard	1991
677	0679448594	Primary Colors: A Novel of Politics	Anonymous	1996
678	0671867172	The Lottery Winner : Alvirah And Willy Stories	Mary Higgins Clark	1995
679	0061030635	Wild Justice	Phillip Margolin	2001
680	0449006530	Midnight Voices	JOHN SAUL	2003
681	0440221315	The Gift	DANIELLE STEEL	1996
682	0446527785	A Bend in the Road	Nicholas Sparks	2001
683	0553262505	A Wizard of Earthsea (Earthsea Trilogy, Book 1)	URSULA K. LE GUIN	1984
684	0316096199	Lucky : A Memoir	Alice Sebold	2002
685	0375713751	I Don't Know How She Does It	ALLISON PEARSON	2003
686	0440224845	Bittersweet	DANIELLE STEEL	2000
687	0671864173	WAITING TO EXHALE	Terry McMillan	1993
688	0440200989	Weep No More My Lady	Mary Higgins Clark	1993
689	0671568175	Let Me Call You Sweetheart	Mary Higgins Clark	1996
690	0449221504	K Is for Killer (Kinsey Millhone Mysteries (Paperback))	Sue Grafton	1999
691	0446607193	Unspeakable	Sandra Brown	1999
692	0373484003	Irish Hearts	Nora Roberts	2000
693	0440223237	Malice	DANIELLE STEEL	1997
694	0786884142	A Monk Swimming : A Memoir	Malachy McCourt	1999
695	0767905385	Catch Me If You Can: The True Story of a Real Fake	Stan Redding	2000
696	0440211263	Circle of Friends	Maeve Binchy	1991
697	0553260111	The Bourne Identity	Robert Ludlum	1984
698	0767900383	Under the Tuscan Sun	Frances Mayes	1997
699	0380804697	Paradise Lost	J.A. Jance	2002
700	0425178951	Deep South	Nevada Barr	2001
701	0671034006	Heartbreaker	Julie Garwood	2001
702	0425116840	The Cardinal of the Kremlin (Jack Ryan Novels)	Tom Clancy	1989
703	0425191184	Red Rabbit	Tom Clancy	2003
704	039914465X	Southern Cross	Patricia Daniels Cornwell	1999
705	067102423X	Bag of Bones	Stephen King	1999
706	0345334531	Feast of All Saints	Anne Rice	1986
707	0440237262	The Program	Stephen White	2002
708	0060809833	Brave New World	Aldous Huxley	1989
709	0156711427	A Passage to India	E.M. Forster	1965
710	0553268880	The Prince of Tides	Pat Conroy	1987
711	0345391810	The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback))	Douglas Adams	1995
712	0385336179	Shopaholic Ties the Knot	Sophie Kinsella	2003
713	060980619X	God Save the Sweet Potato Queens	JILL CONNER BROWNE	2001
714	0553582755	One Door Away from Heaven	Dean R. Koontz	2002
715	0452268060	How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction)	Julia Alvarez	1992
716	044651652X	The Bridges of Madison County	Robert James Waller	1992
717	0142002267	Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players	Stefan Fatsis	2002
718	0842329277	Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6)	Tim Lahaye	2000
719	0440439884	Island of the Blue Dolphins	SCOTT O'DELL	1971
720	059030271X	Charlotte's Web	E. B. White	1974
721	0345339738	The Return of the King (The Lord of the Rings, Part 3)	J.R.R. TOLKIEN	1986
722	1573225517	High Fidelity	Nick Hornby	1996
723	0380973650	American Gods: A Novel	Neil Gaiman	2001
724	0802130208	A Confederacy of Dunces (Evergreen Book)	John Kennedy Toole	1987
725	0156628708	Mrs Dalloway	Virginia Woolf	1990
726	0440208459	Burn Marks (V.I. Warshawski Novels (Paperback))	Sara Paretsky	1991
727	0449208672	The Cater Street Hangman	Anne Perry	1990
728	0380725835	Endangered Species (Anna Pigeon Mysteries (Paperback))	Nevada Barr	1998
729	0060199652	Prodigal Summer	Barbara Kingsolver	2000
730	0316284955	White Oleander : A Novel (Oprah's Book Club)	Janet Fitch	2000
731	0345412214	The Last Don	MARIO PUZO	1997
732	0451147367	The Bachman Books: Rage, the Long Walk, Roadwork, the Running Man	Stephen King	1991
733	0375501371	A Widow for One Year : A Novel	JOHN IRVING	1998
734	0312283709	Running with Scissors	Augusten Burroughs	2002
735	0060987529	Confessions of an Ugly Stepsister : A Novel	Gregory Maguire	2000
736	0671567829	The Bookman's Wake (Cliff Janeway Novels (Paperback))	John Dunning	1996
737	0375703764	House of Leaves	Mark Z. Danielewski	2000
738	0553277472	Zen and the Art of Motorcycle Maintenance: An Inquiry into Values	ROBERT PIRSIG	1984
739	0446608262	The Lion's Game	Nelson DeMille	2000
740	0553560247	Dying for Chocolate (Culinary Mysteries (Paperback))	DIANE MOTT DAVIDSON	1993
741	0553295772	Extreme Measures	Michael Palmer	1992
742	051512608X	The Reef	Nora Roberts	1999
743	0451124383	Man From St Petersburg	Ken Follett	1983
744	0312978332	Name Dropping : What If Two Very Different Women Had The Same Exact Name?	Jane Heller	2001
745	0451408888	The Trials of Tiffany Trott	Isabel Wolff	1999
746	0060008776	Pagan Babies	Elmore Leonard	2002
747	0553574671	Prime Cut	Diane Mott Davidson	2000
748	0375727345	House of Sand and Fog	Andre Dubus III	2000
749	0446608890	Saving Faith	David Baldacci	2000
750	0425188787	Hunting Season (Anna Pigeon Novels (Paperback))	Nevada Barr	2003
751	0312983298	Full Speed (Janet Evanovich's Full Series)	Janet Evanovich	2003
752	0743437640	The Mulberry Tree	Jude Deveraux	2003
753	1551668912	Thursday'S At Eight	Debbie Macomber	2002
754	042515601X	Acts of War (Tom Clancy's Op Center (Paperback))	Tom Clancy	1997
755	0375703861	White Teeth: A Novel	Zadie Smith	2001
756	0156011042	East of the Mountains (Vintage Contemporaries (Paperback))	David Guterson	2000
757	0671776975	A RIVER RUNS THROUGH IT AND OTHER STORIES : AND OTHER STORIES	Norman Maclean	1992
758	0440967694	The Outsiders	S. E. Hinton	1993
759	0425152251	Sophie's World: A Novel About the History of Philosophy	Jostein Gaarder	1996
760	0312924585	Silence of the Lambs	Thomas Harris	1991
761	0385479565	The Hot Zone	Richard Preston	1995
762	0140132708	Midnight's Children	Salman Rushdie	1995
763	0312274920	Round Ireland With a Fridge	Tony Hawks	2001
764	0345409671	Memnoch the Devil (Vampire Chronicles, No 5)	Anne Rice	1997
765	0312171838	Bachelor Brothers' Bed &amp; Breakfast	Bill Richardson	1997
766	0425162443	The Rapture of Canaan	Sheri Reynolds	1997
767	0345423291	What We Keep : A Novel (Ballantine Reader's Circle)	Elizabeth Berg	1999
768	0515132020	Heaven and Earth (Three Sisters Island Trilogy)	Nora Roberts	2003
769	0515131229	Dance upon the Air (Three Sisters Island Trilogy)	Nora Roberts	2003
770	0446679364	The Future Homemakers of America	Laurie Graham	2002
771	0312199430	One Thousand White Women : The Journals of May Dodd: A Novel	Jim Fergus	1999
772	038079487X	What Looks Like Crazy On An Ordinary Day	Pearl Cleage	1998
773	0684872153	Angela's Ashes (MMP) : A Memoir	Frank McCourt	1999
774	0060926317	Mutant Message Down Under	Marlo Morgan	1995
775	0312421273	The Corrections: A Novel	Jonathan Franzen	2002
776	0440241162	Nerd in Shining Armor	Vicki Lewis Thompson	2003
777	0786866586	Shopgirl : A Novella	Steve Martin	2000
778	3492045170	Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush	Michael Moore	2003
779	0156007754	Blindness (Harvest Book)	Jose Saramago	1999
780	031205436X	Generation X: Tales for an Accelerated Culture	Douglas Coupland	1992
781	1573226521	The Beach	Alex Garland	1998
782	0515119784	Range of Motion	Elizabeth Berg	1996
783	0811825558	The Worst-Case Scenario Survival Handbook	Joshua Piven	1999
784	0064407675	The Reptile Room (A Series of Unfortunate Events, Book 2)	Lemony Snicket	1999
785	0767902890	The Things They Carried	TIM O'BRIEN	1998
786	0380977788	Coraline	Neil Gaiman	2002
787	0441304834	Guilty Pleasures (Anita Blake Vampire Hunter (Paperback))	Laurell K. Hamilton	1995
788	0553571818	Long After Midnight	IRIS JOHANSEN	1997
789	0441790348	Stranger in a Strange Land (Remembering Tomorrow)	Robert A. Heinlein	1995
790	0553573403	A Game of Thrones (A Song of Ice and Fire, Book 1)	George R.R. Martin	1997
791	0553280147	Till We Meet Again	Judith Krantz	1989
792	0345391055	Disclosure	Michael Crichton	1994
793	0312979479	And Then There Were None : A Novel	Agatha Christie	2001
794	0375760911	The Idiot Girls' Action Adventure Club	Laurie Notaro	2002
795	0743407067	The First Time	Joy Fielding	2001
796	0515131083	Plantation: A Lowcountry Tale	Dorothea Benton Frank	2001
797	0743407083	Grand Avenue	Joy Fielding	2002
798	0399142789	Conversations with God : An Uncommon Dialogue (Book 1)	Neale Donald Walsch	1996
799	006000438X	The Death of Vishnu: A Novel	Manil Suri	2002
800	0374129983	The Corrections	Jonathan Franzen	2001
801	1931561648	The Time Traveler's Wife (Today Show Book Club #15)	Audrey Niffenegger	2003
802	0060517794	Little Altars Everywhere	Rebecca Wells	2003
803	0553296124	Heir to the Empire (Star Wars: The Thrawn Trilogy, Vol. 1)	Timothy Zahn	1998
804	0380701340	Creed for the Third Millennium	Colleen McCullough	1986
805	0451146425	Lie Down With Lions	Ken Follett	1986
806	0380817446	The Legend of Bagger Vance	Steven Pressfield	2000
807	0345300203	The Outside Man	Richard North Patterson	1995
808	1576737330	The Prayer of Jabez: Breaking Through to the Blessed Life	Bruce Wilkinson	2000
809	0451197410	How Stella Got Her Groove Back	Terry McMillan	1998
810	0316601950	The Pilot's Wife : A Novel	Anita Shreve	1999
811	0445406518	Crocodile on the Sandbank	Elizabeth Peters	1988
812	0345313151	Bearing an Hourglass (Incarnations of Immortality (Paperback))	Piers Anthony	1991
813	0061031429	The Vendetta Defense	Lisa Scottoline	2002
814	1573227331	About a Boy	Nick Hornby	1999
815	080411918X	A Patchwork Planet	ANNE TYLER	2001
816	1551668653	Getting Rid Of Bradley	Jennifer Crusie	2001
817	0440237300	Three Weeks in Paris	BARBARA TAYLOR BRADFORD	2002
818	0066214122	Prey: A Novel	Michael Crichton	2002
819	0375502238	Blessings	ANNA QUINDLEN	2002
820	0440202043	Shell Seekers	Rosamunde Pilcher	1996
821	0451183665	A Case of Need	Michael Crichton	1994
822	0399150897	Blow Fly: A Scarpetta Novel	Patricia Cornwell	2003
823	074322535X	Gap Creek: The Story of a Marriage	Robert Morgan	2001
824	0684841185	Death du Jour	Kathy Reichs	1999
825	0316693286	Pop Goes the Weasel	James Patterson	1999
826	0451180429	The Quiet Game	Greg Iles	2000
827	0373250126	Milkrun	Sarah Mlynowski	2001
828	0451410947	Must Love Dogs	Claire Cook	2003
